;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM;JKM
15/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,264;6,4;6,315;6,375;6,45;6,565;6,715;6,925;7,325;7,75;7,995;8,08;7,775;6,375;6,1;6,05;6,005;6,13;6,18;6,355;6,675;7,37;7,56;7,485;7,16;6,095;5,875;5,525;5,525;5,65;5,825;5,85;6,345;6,815;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
16/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,264;6,35;6,24;6,29;6,315;6,45;6,59;6,825;7,225;7,625;7,965;8,115;7,62;6,32;6,04;6,015;5,935;6,06;6,11;6,31;6,61;7,31;7,545;7,465;7,14;6,085;5,86;5,505;5,505;5,63;5,81;5,885;6,335;6,815;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
17/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,264;6,305;6,2;6,275;6,325;6,425;6,565;6,75;7,15;7,55;7,925;8,075;7,55;6,3;6,025;5,975;5,925;6,025;6,12;6,32;6,645;7,34;7,505;7,43;7,105;6,04;5,84;5,465;5,465;5,615;5,765;5,84;6,285;6,785;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
18/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,264;6,6;6,45;6,475;6,49;6,59;6,725;6,925;7,325;7,725;8,05;8,205;7,67;6,375;6,1;6,05;5,97;6,07;6,17;6,37;6,7;7,405;7,535;7,46;7,16;6,095;5,895;5,615;5,615;5,715;5,815;5,92;6,27;6,78;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
19/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,264;6,4;6,215;6,275;6,34;6,44;6,575;6,8;7,2;7,6;7,925;8,07;7,555;6,3;6,025;5,975;5,895;5,99;6,09;6,265;6,585;7,275;7,465;7,39;7,095;6,05;5,855;5,58;5,58;5,68;5,78;5,88;6,225;6,72;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
20/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,264;6,4;6,215;6,275;6,34;6,44;6,575;6,8;7,2;7,6;7,925;8,07;7,555;6,3;6,025;5,975;5,895;5,99;6,09;6,265;6,585;7,275;7,465;7,39;7,095;6,05;5,855;5,58;5,58;5,68;5,78;5,88;6,225;6,72;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
21/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,264;6,4;6,215;6,275;6,34;6,44;6,575;6,8;7,2;7,6;7,925;8,07;7,555;6,3;6,025;5,975;5,895;5,99;6,09;6,265;6,585;7,275;7,465;7,39;7,095;6,05;5,855;5,58;5,58;5,68;5,78;5,88;6,225;6,72;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
22/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,264;6,255;6,04;6,135;6,19;6,275;6,4;6,65;7,05;7,45;7,825;7,97;7,455;6,25;5,975;5,925;5,825;5,925;6,025;6,225;6,55;7,245;7,445;7,37;7,07;6,025;5,825;5,555;5,555;5,65;5,75;5,85;6,2;6,7;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
23/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,264;6,23;6,065;6,165;6,225;6,34;6,49;6,725;7,125;7,525;7,9;8,05;7,52;6,325;6,05;6;5,935;6,04;6,14;6,345;6,675;7,39;7,54;7,465;7,16;6,075;5,875;5,6;5,6;5,7;5,8;5,875;6,23;6,735;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
24/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,264;6,04;5,975;6,065;6,19;6,3;6,45;6,75;7,15;7,55;7,94;8,07;7,54;6,3;6,025;5,975;5,94;6,045;6,145;6,37;6,695;7,4;7,555;7,48;7,18;6,1;5,9;5,625;5,625;5,7;5,8;5,875;6,225;6,73;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
25/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,264;5,805;5,76;5,925;6,115;6,24;6,4;6,65;7,075;7,5;7,865;7,99;7,465;6,31;6,06;6,01;6,01;6,11;6,21;6,435;6,765;7,47;7,575;7,5;7,2;6,12;5,92;5,645;5,62;5,695;5,795;5,87;6,225;6,725;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
26/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,264;6,195;5,815;5,9;6,05;6,225;6,4;6,55;6,95;7,425;7,84;7,965;7,44;6,255;6,01;5,96;5,95;6,05;6,15;6,375;6,7;7,4;7,56;7,485;7,185;6,11;5,905;5,63;5,605;5,68;5,78;5,855;6,21;6,71;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
27/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,264;6,195;5,815;5,9;6,05;6,225;6,4;6,55;6,95;7,425;7,84;7,965;7,44;6,255;6,01;5,96;5,95;6,05;6,15;6,375;6,7;7,4;7,56;7,485;7,185;6,11;5,905;5,63;5,605;5,68;5,78;5,855;6,21;6,71;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
28/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,264;6,195;5,815;5,9;6,05;6,225;6,4;6,55;6,95;7,425;7,84;7,965;7,44;6,255;6,01;5,96;5,95;6,05;6,15;6,375;6,7;7,4;7,56;7,485;7,185;6,11;5,905;5,63;5,605;5,68;5,78;5,855;6,21;6,71;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
01/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,264;5,925;5,825;5,965;6,15;6,325;6,5;6,7;7,075;7,55;7,84;7,97;7,44;6,265;6,04;5,99;6,025;6,13;6,23;6,46;6,79;7,525;7,55;7,475;7,175;6,125;5,925;5,65;5,625;5,7;5,8;5,875;6,225;6,715;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
02/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,875;5,735;5,915;6,115;6,29;6,465;6,65;7,025;7,5;7,85;7,975;7,425;6,265;6,04;5,99;5,98;6,105;6,205;6,405;6,73;7,425;7,545;7,47;7,17;6,1;5,9;5,625;5,6;5,675;5,775;5,85;6,2;6,695;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
03/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,875;5,64;5,84;6,015;6,2;6,39;6,575;7;7,5;7,825;7,95;7,4;6,24;6,015;5,965;5,945;6,07;6,17;6,39;6,715;7,41;7,535;7,46;7,16;6,085;5,885;5,61;5,585;5,66;5,76;5,835;6,185;6,66;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
04/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5,85;6,015;6,15;6,35;6,55;6,75;7,125;7,625;7,95;8,08;7,52;6,295;6,065;6,015;6,025;6,15;6,25;6,48;6,805;7,515;7,625;7,52;7,22;6,135;5,93;5,655;5,63;5,705;5,805;5,88;6,235;6,715;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
05/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5,95;6,15;6,3;6,475;6,615;6,825;7,2;7,7;8,06;8,19;7,6;6,385;6,13;6,08;6,085;6,21;6,31;6,54;6,87;7,585;7,675;7,575;7,27;6,175;5,97;5,69;5,665;5,745;5,845;5,92;6,275;6,785;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
06/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5,95;6,15;6,3;6,475;6,615;6,825;7,2;7,7;8,06;8,19;7,6;6,385;6,13;6,08;6,085;6,21;6,31;6,54;6,87;7,585;7,675;7,575;7,27;6,175;5,97;5,69;5,665;5,745;5,845;5,92;6,275;6,785;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
07/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5,95;6,15;6,3;6,475;6,615;6,825;7,2;7,7;8,06;8,19;7,6;6,385;6,13;6,08;6,085;6,21;6,31;6,54;6,87;7,585;7,675;7,575;7,27;6,175;5,97;5,69;5,665;5,745;5,845;5,92;6,275;6,785;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
08/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5,94;6,14;6,29;6,44;6,565;6,775;7,175;7,65;8,015;8,14;7,545;6,4;6,125;6,075;6,1;6,225;6,325;6,55;6,875;7,58;7,7;7,6;7,295;6,19;5,99;5,71;5,685;5,76;5,86;5,94;6,29;6,795;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
09/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,01;6,275;6,425;6,55;6,675;6,8;7,025;7,425;7,9;8,27;8,4;7,78;6,505;6,225;6,17;6,14;6,27;6,37;6,57;6,925;7,635;7,735;7,635;7,33;6,27;6,065;5,79;5,765;5,84;5,94;6,035;6,37;6,875;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
10/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6,45;6,625;6,74;6,84;6,975;7,175;7,6;8,1;8,455;8,605;7,84;6,615;6,33;6,255;6,25;6,375;6,475;6,68;7,035;7,745;7,8;7,7;7,4;6,34;6,135;5,86;5,835;5,91;6,01;6,085;6,44;6,945;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
11/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,055;6,59;6,85;6,95;7,05;7,15;7,35;7,8;8,25;8,605;8,755;7,99;6,71;6,43;6,355;6,365;6,495;6,595;6,8;7,16;7,875;7,86;7,76;7,455;6,375;6,17;5,895;5,87;5,945;6,045;6,12;6,45;6,955;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
12/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,07;6,74;7,025;7,1;7,14;7,215;7,425;7,9;8,375;8,705;8,855;8,09;6,735;6,46;6,38;6,395;6,52;6,62;6,82;7,175;7,885;7,885;7,76;7,46;6,385;6,185;5,91;5,885;5,96;6,06;6,135;6,46;6,96;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
13/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,07;6,74;7,025;7,1;7,14;7,215;7,425;7,9;8,375;8,705;8,855;8,09;6,735;6,46;6,38;6,395;6,52;6,62;6,82;7,175;7,885;7,885;7,76;7,46;6,385;6,185;5,91;5,885;5,96;6,06;6,135;6,46;6,96;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
14/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,07;6,74;7,025;7,1;7,14;7,215;7,425;7,9;8,375;8,705;8,855;8,09;6,735;6,46;6,38;6,395;6,52;6,62;6,82;7,175;7,885;7,885;7,76;7,46;6,385;6,185;5,91;5,885;5,96;6,06;6,135;6,46;6,96;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
15/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,077;6,625;6,925;6,975;7,05;7,125;7,35;7,825;8,3;8,575;8,72;7,98;6,68;6,41;6,335;6,39;6,515;6,615;6,815;7,165;7,87;7,915;7,79;7,49;6,345;6,15;5,875;5,85;5,925;6,025;6,075;6,395;6,895;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
16/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,077;6,53;6,715;6,8;6,875;6,95;7,175;7,65;8,125;8,525;8,63;7,895;6,605;6,335;6,26;6,285;6,41;6,505;6,75;7,1;7,79;7,905;7,785;7,485;6,335;6,135;5,86;5,835;5,91;6,01;6,06;6,385;6,885;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
17/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,077;6,65;6,815;6,915;6,99;7,05;7,25;7,775;8,225;8,625;8,73;7,995;6,66;6,38;6,305;6,33;6,46;6,56;6,7;7,05;7,745;7,9;7,775;7,475;6,325;6,125;5,85;5,825;5,9;6;6,05;6,375;6,875;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
18/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,077;6,565;6,615;6,725;6,825;6,875;7,175;7,65;8,125;8,525;8,625;7,9;6,61;6,335;6,26;6,3;6,4;6,5;6,785;7,14;7,82;7,89;7,765;7,465;6,31;6,11;5,81;5,785;5,86;5,96;6,01;6,335;6,84;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
19/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,077;6,425;6,515;6,64;6,715;6,79;7,05;7,53;8,07;8,475;8,435;7,84;6,53;6,26;6,185;6,225;6,325;6,425;6,675;7,045;7,71;7,845;7,72;7,42;6,255;6,055;5,76;5,735;5,81;5,91;5,96;6,28;6,8;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
20/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,077;6,425;6,515;6,64;6,715;6,79;7,05;7,53;8,07;8,475;8,435;7,84;6,53;6,26;6,185;6,225;6,325;6,425;6,675;7,045;7,71;7,845;7,72;7,42;6,255;6,055;5,76;5,735;5,81;5,91;5,96;6,28;6,8;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
21/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,077;6,425;6,515;6,64;6,715;6,79;7,05;7,53;8,07;8,475;8,435;7,84;6,53;6,26;6,185;6,225;6,325;6,425;6,675;7,045;7,71;7,845;7,72;7,42;6,255;6,055;5,76;5,735;5,81;5,91;5,96;6,28;6,8;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
22/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,077;6,625;6,765;6,85;6,95;7,05;7,275;7,825;8,3;8,7;8,695;8,105;6,715;6,43;6,355;6,395;6,5;6,605;6,745;7,125;7,78;8,02;7,895;7,585;6,385;6,18;5,875;5,85;5,925;6,03;6,08;6,41;6,95;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
23/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,077;6,855;6,965;7,015;7,09;7,165;7,375;7,95;8,45;8,85;8,815;8,21;6,665;6,38;6,305;6,35;6,45;6,55;6,765;7,145;7,805;8,025;7,9;7,59;6,39;6,185;5,88;5,855;5,93;6,03;6,085;6,415;6,95;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
24/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,077;6,855;6,95;7,075;7,1;7,15;7,35;7,925;8,45;8,825;8,79;8,185;6,65;6,35;6,275;6,325;6,425;6,525;6,685;7,06;7,705;7,99;7,87;7,57;6,375;6,15;5,85;5,825;5,9;6;6,05;6,4;6,92;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
25/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,077;6,75;6,865;6,95;7;7,05;7,225;7,8;8,325;8,675;8,67;8,08;6,52;6,225;6,155;6,2;6,3;6,4;6,565;6,935;7,575;7,865;7,74;7,445;6,265;6,04;5,745;5,7;5,77;5,87;5,915;6,265;6,78;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
26/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,077;6,93;7,04;7,095;7,145;7,16;7,35;7,9;8,5;8,85;8,815;8,21;6,68;6,375;6,295;6,345;6,45;6,555;6,665;7,045;7,705;8;7,875;7,57;6,395;6,165;5,86;5,81;5,885;5,99;6,04;6,395;6,905;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
27/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,077;6,93;7,04;7,095;7,145;7,16;7,35;7,9;8,5;8,85;8,815;8,21;6,68;6,375;6,295;6,345;6,45;6,555;6,665;7,045;7,705;8;7,875;7,57;6,395;6,165;5,86;5,81;5,885;5,99;6,04;6,395;6,905;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
28/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,93;7,04;7,095;7,145;7,16;7,35;7,9;8,5;8,85;8,815;8,21;6,68;6,375;6,295;6,345;6,45;6,555;6,665;7,045;7,705;8;7,875;7,57;6,395;6,165;5,86;5,81;5,885;5,99;6,04;6,395;6,905;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
29/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,865;6,94;6,99;7,04;7,085;7,3;7,85;8,4;8,775;8,745;8,13;6,595;6,3;6,225;6,275;6,375;6,475;6,765;7,14;7,8;7,97;7,845;7,545;6,375;6,15;5,83;5,78;5,855;5,98;6,03;6,375;6,875;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
30/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,935;7,05;7,125;7,145;7,195;7,375;7,875;8,45;8,85;8,83;8,195;6,625;6,325;6,25;6,3;6,4;6,5;6,845;7,225;7,905;8,02;7,895;7,62;6,41;6,21;5,86;5,81;5,86;5,985;6,085;6,385;6,915;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
31/03/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,02;7,175;7,25;7,28;7,305;7,475;7,975;8,45;8,85;8,865;8,235;6,625;6,325;6,25;6,3;6,4;6,5;6,875;7,225;7,875;8,04;7,915;7,635;6,43;6,23;5,88;5,83;5,88;6,005;6,105;6,38;6,96;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
01/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,925;7,2;7,275;7,32;7,37;7,525;8;8,475;8,9;8,925;8,275;6,625;6,325;6,25;6,3;6,4;6,5;6,89;7,24;7,89;8,02;7,895;7,62;6,425;6,225;5,88;5,83;5,88;6,005;6,1;6,375;6,95;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
02/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,925;7,2;7,275;7,32;7,37;7,525;8;8,475;8,9;8,925;8,275;6,625;6,325;6,25;6,3;6,4;6,5;6,89;7,24;7,89;8,02;7,895;7,62;6,425;6,225;5,88;5,83;5,88;6,005;6,1;6,375;6,95;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
03/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,925;7,2;7,275;7,32;7,37;7,525;8;8,475;8,9;8,925;8,275;6,625;6,325;6,25;6,3;6,4;6,5;6,89;7,24;7,89;8,02;7,895;7,62;6,425;6,225;5,88;5,83;5,88;6,005;6,1;6,375;6,95;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
04/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,925;7,2;7,275;7,32;7,37;7,525;8;8,475;8,9;8,925;8,275;6,625;6,325;6,25;6,3;6,4;6,5;6,89;7,24;7,89;8,02;7,895;7,62;6,425;6,225;5,88;5,83;5,88;6,005;6,1;6,375;6,95;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
05/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,925;7,2;7,275;7,32;7,37;7,525;8;8,475;8,9;8,925;8,275;6,62;6,325;6,25;6,3;6,4;6,5;6,89;7,24;7,89;8,02;7,895;7,62;6,425;6,225;5,88;5,83;5,88;6;6,1;6,375;6,95;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
06/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,97;7,525;7,585;7,625;7,655;7,8;8,275;8,75;9,2;9,275;8,6;6,78;6,475;6,4;6,45;6,55;6,65;6,78;7,125;7,76;8,1;7,97;7,695;6,49;6,285;5,935;5,885;5,935;6,06;6,16;6,44;7,015;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
07/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,98;7,4;7,455;7,48;7,505;7,7;8,175;8,65;9,1;9,17;8,505;6,695;6,4;6,325;6,375;6,475;6,575;6,75;7,1;7,75;8,075;7,95;7,675;6,455;6,255;5,905;5,855;5,905;6,03;6,155;6,43;7,005;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
08/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,985;7,35;7,405;7,445;7,485;7,63;8,11;8,6;9;9,03;8,37;6,61;6,335;6,285;6,31;6,41;6,51;6,795;7,15;7,805;8,04;7,915;7,64;6,42;6,22;5,87;5,845;5,895;6,02;6,145;6,42;6,99;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
09/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,985;7,345;7,405;7,44;7,47;7,6;8,05;8,5;8,925;8,985;8,34;6,55;6,3;6,275;6,3;6,375;6,45;6,765;7,115;7,76;8,065;7,94;7,665;6,43;6,23;5,88;5,855;5,905;6,03;6,155;6,43;7,01;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
10/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,985;7,345;7,405;7,44;7,47;7,6;8,05;8,5;8,925;8,985;8,34;6,55;6,3;6,275;6,3;6,375;6,45;6,765;7,115;7,76;8,065;7,94;7,665;6,43;6,23;5,88;5,855;5,905;6,03;6,155;6,43;7,01;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
11/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,985;7,345;7,405;7,44;7,47;7,6;8,05;8,5;8,925;8,985;8,34;6,55;6,3;6,275;6,3;6,375;6,45;6,765;7,115;7,76;8,065;7,94;7,665;6,43;6,23;5,88;5,855;5,905;6,03;6,155;6,43;7,01;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
12/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,005;7,625;7,65;7,675;7,7;7,825;8,275;8,725;9,05;9,245;8,48;6,63;6,375;6,35;6,375;6,45;6,525;6,745;7,095;7,745;8,095;8,02;7,715;6,495;6,295;5,94;5,915;5,965;6,09;6,245;6,52;7,105;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
13/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,015;7,6;7,645;7,67;7,695;7,85;8,275;8,75;9,05;9,175;8,4;6,61;6,36;6,335;6,34;6,415;6,49;6,705;7,055;7,705;8,075;8;7,705;6,48;6,255;5,96;5,91;5,96;6,085;6,205;6,48;7,055;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
14/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,015;7,675;7,775;7,8;7,825;7,95;8,35;8,8;9,2;9,29;8,51;6,735;6,48;6,455;6,47;6,545;6,62;6,755;7,11;7,76;8,15;8,12;7,795;6,555;6,275;5,995;5,945;5,995;6,125;6,325;6,605;7,185;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
15/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,017;8,025;8,04;8,05;8,06;8,19;8,625;9,05;9,4;9,555;8,735;6,885;6,63;6,6;6,62;6,695;6,77;6,815;7,165;7,825;8,27;8,24;7,91;6,64;6,36;6,08;6,055;6,105;6,235;6,46;6,74;7,325;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
16/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,017;8,245;8,225;8,25;8,275;8,39;8,775;9,225;9,525;9,6;8,85;6,98;6,725;6,7;6,725;6,8;6,875;6,77;7,115;7,775;8,295;8,27;7,945;6,645;6,415;6,115;6,065;6,115;6,24;6,49;6,77;7,345;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
17/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,017;8,025;8,04;8,05;8,06;8,19;8,625;9,05;9,4;9,555;8,735;6,885;6,63;6,6;6,62;6,695;6,77;6,815;7,165;7,825;8,27;8,24;7,91;6,64;6,36;6,08;6,055;6,105;6,235;6,46;6,74;7,325;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
18/04/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,017;8,245;8,225;8,25;8,275;8,39;8,775;9,225;9,525;9,6;8,85;6,98;6,725;6,7;6,725;6,8;6,875;6,77;7,115;7,775;8,295;8,27;7,945;6,645;6,415;6,115;6,065;6,115;6,24;6,49;6,77;7,345;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48;6,48
